Section,Sr_No,IS_Standard_No,Title_Product_Category,Requirement_Specific_Details,Notification_QCO_Details
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),56,IS 302 Part 2/Section 15:2009,Rice Cooker,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),57,IS/IEC 62368 Part 1:2023,Wireless microphone,As per essential requirements/safety requirements of the cited IS standard,"S.O.3429(E) dtd 1 Oct 2020; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),58,IS/IEC 62368 Part 1:2023,Digital Camera,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),59,IS/IEC 62368 Part 1:2023,Video Camera,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),60,IS/IEC 62368 Part 1:2023,Webcam (Finished Product),As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),61,IS/IEC 62368 Part 1:2023,Smart Speakers (with and without Display),As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),62,IS 60669-2-1:2008,Dimmers for LED products,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),63,IS/IEC 62368 Part 1:2023,Bluetooth speakers,As per essential requirements/safety requirements of the cited IS standard,"Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012, dtd 13 Nov 2012, Notification No. S.O.2905(E) dtd 7 Nov 2014; Extension Order for select products; Amendments: S.O.344(E) dtd 30 Nov 2015, S.O.2578(E) dtd 7 Aug 2015; Superseded by Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021; Amendment S.O.124(E) dtd 10 Mar 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),64,IS 18112:2022,Television Sets (Digital Television Receiver for Satellite Broadcast Transmission),As per essential requirements/safety requirements of the cited IS standard,"Amendment to Electronics and IT Goods (Requirement for Compulsory Registration) Order, 2021, S.O.1929(E) dtd 26 Apr 2023; Extension of timelines: S.O.1363(E) dtd 21 Mar 2025, S.O.4362(E) dtd 25 Sep 2025, S.O.352(E) dtd 22 Jan 2026; Amendment S.O.124(E) dtd 10 Mar 2026; Further extension S.O.4182(E) dtd 26 Jul 2026"
Electronics and IT Goods - Compulsory Registration Scheme (MeitY),65,IS/IEC 62368 Part 1:2023,"Extended Reality Products (Augmented Reality, Virtual Reality, Mixed Reality etc.) - Migration from IS 13252 Part 1:2010 and IS 616:2017",As per essential requirements/safety requirements of the cited IS standard,"Migration to IS/IEC 62368 Part 1:2023 from IS 13252 Part 1:2010 and IS 616:2017, S.O.4997(E) dtd 4 Nov 2025; Amendment to Electronics and IT Goods (Requirement of Compulsory Registration) Order, 2021, S.O.1246(E) dtd 10 Mar 2026"
"Solar Photovoltaic Systems, Devices and Components - Compulsory Registration (MNRE)",1,IS 14286 / IS/IEC 61730-1 / IS/IEC 61730-2,Crystalline Silicon Terrestrial Photovoltaic (PV) modules (Si wafer based) - Design Qualification And Type Approval,"Design qualification, type approval and safety requirements as per cited IS standards","Solar Photovoltaic Systems, Devices and Component Goods (Requirement for Compulsory Registration) Order, 2017, S.O.2920(E) dtd 30 Aug 2017; S.O.1602(E) dtd 16 Apr 2018; S.O.2183(E) dtd 30 May 2018; S.O.5259(E) dtd 12 Oct 2018; S.O.444(E) dtd 24 Jan 2023; S.O.492(E) dtd 27 Jan 2025; Solar System, Devices and Component Goods Order, 2025 for SPV Inverters above 200 KW, S.O.359(E) dtd 5 Aug 2025"
"Solar Photovoltaic Systems, Devices and Components - Compulsory Registration (MNRE)",2,IS 16077 / IS/IEC 61730-1 / IS/IEC 61730-2,"Thin-Film Terrestrial Photovoltaic (PV) Modules (a-Si, CIGS and CdTe) - Design Qualification and Type Approval","Design qualification, type approval and safety requirements as per cited IS standards","Solar Photovoltaic Systems, Devices and Component Goods (Requirement for Compulsory Registration) Order, 2017, S.O.2920(E) dtd 30 Aug 2017; S.O.1602(E) dtd 16 Apr 2018; S.O.2183(E) dtd 30 May 2018; S.O.5259(E) dtd 12 Oct 2018; S.O.444(E) dtd 24 Jan 2023; S.O.492(E) dtd 27 Jan 2025; Solar System, Devices and Component Goods Order, 2025 for SPV Inverters above 200 KW, S.O.359(E) dtd 5 Aug 2025"
"Solar Photovoltaic Systems, Devices and Components - Compulsory Registration (MNRE)",3,IS 16221 Part 2,Power converters for use in photovoltaic power system - Particular Requirement for Inverters,"Design qualification, type approval and safety requirements as per cited IS standards","Solar Photovoltaic Systems, Devices and Component Goods (Requirement for Compulsory Registration) Order, 2017, S.O.2920(E) dtd 30 Aug 2017; S.O.1602(E) dtd 16 Apr 2018; S.O.2183(E) dtd 30 May 2018; S.O.5259(E) dtd 12 Oct 2018; S.O.444(E) dtd 24 Jan 2023; S.O.492(E) dtd 27 Jan 2025; Solar System, Devices and Component Goods Order, 2025 for SPV Inverters above 200 KW, S.O.359(E) dtd 5 Aug 2025"
"Solar Photovoltaic Systems, Devices and Components - Compulsory Registration (MNRE)",4,IS 16169,Power converters for use in photovoltaic power system - Particular Requirement for Inverters,"Design qualification, type approval and safety requirements as per cited IS standards","Solar Photovoltaic Systems, Devices and Component Goods (Requirement for Compulsory Registration) Order, 2017, S.O.2920(E) dtd 30 Aug 2017; S.O.1602(E) dtd 16 Apr 2018; S.O.2183(E) dtd 30 May 2018; S.O.5259(E) dtd 12 Oct 2018; S.O.444(E) dtd 24 Jan 2023; S.O.492(E) dtd 27 Jan 2025; Solar System, Devices and Component Goods Order, 2025 for SPV Inverters above 200 KW, S.O.359(E) dtd 5 Aug 2025"
"Solar Photovoltaic Systems, Devices and Components - Compulsory Registration (MNRE)",5,IS 16270,Utility-Interconnected Photovoltaic inverters - Test Procedure of Islanding Prevention Measures,"Design qualification, type approval and safety requirements as per cited IS standards","Solar Photovoltaic Systems, Devices and Component Goods (Requirement for Compulsory Registration) Order, 2017, S.O.2920(E) dtd 30 Aug 2017; S.O.1602(E) dtd 16 Apr 2018; S.O.2183(E) dtd 30 May 2018; S.O.5259(E) dtd 12 Oct 2018; S.O.444(E) dtd 24 Jan 2023; S.O.492(E) dtd 27 Jan 2025; Solar System, Devices and Component Goods Order, 2025 for SPV Inverters above 200 KW, S.O.359(E) dtd 5 Aug 2025"
Chemicals - Notified by Ministry of Chemicals and Fertilizers,1,IS 15:40,Ortho Phosphoric Acid,As per specification IS 15:40,"Ortho Phosphoric Acid (Quality Control) Amendment Order, 2021 (S.O.2335(E) dtd 15/06/2021; S.O.4914(E) dtd 29/11/2021); Amendment order for various chemicals dtd 13/05/2022; Amendment Order, 2024, S.O.1709(E) dtd 13 Apr 2024; Second Amendment Order, 2024, S.O.2975(E) dtd 26 Jul 2024"
Chemicals - Notified by Ministry of Chemicals and Fertilizers,2,IS 17439:2020,Polyphosphoric Acid,As per specification IS 17439:2020,"Polyphosphoric Acid (Quality Control) Order, 2021 (S.O.5388(E) dtd 24/12/2021); Amendment order for various chemicals dtd 13/05/2022"
Chemicals - Notified by Ministry of Chemicals and Fertilizers,3,IS 17412:2020,Trimethyl Phosphite - Technical Grade,As per specification IS 17412:2020,"Trimethyl Phosphite (Quality Control) Order, 2022 (S.O.1637(E) dtd 05/04/2022)"
Textile Material - Notified by Ministry of Textiles,1,IS 12171:2019,Cotton Bales,As per specification IS 12171:2019,"Cotton Bales (Quality Control) Order, 2023, S.O.948(E) dtd 28 Feb 2023; Amendment Orders, 2023: S.O.3557(E) dtd 7 Aug 2023, S.O.3830(E) dtd 28 Aug 2023, S.O.3469(E) dtd 13 Aug 2024, S.O.2996(E) dtd 3 Jul 2025, S.O.2956(E) dtd 9 Jun 2026"
